time,open,high,low,close,volume
1728877500,51263.25,51290.25,51223.55,51235.8,0
1728877505,51235.25,51266.65,51220.85,51266.65,0
1728877510,51266.35,51310.15,51265.75,51286.0,0
1728877515,51298.7,51310.3,51288.1,51299.55,0
1728877520,51314.2,51321.4,51303.55,51309.55,0
1728877525,51320.35,51341.35,51315.85,51332.65,0
1728877530,51328.2,51334.95,51317.0,51329.9,0
1728877535,51327.0,51336.4,51325.35,51336.4,0
1728877540,51338.35,51338.35,51319.05,51327.1,0
1728877545,51327.1,51327.1,51311.25,51316.65,0
1728877550,51316.6,51324.75,51313.0,51314.45,0
1728877555,51309.15,51312.25,51301.8,51305.45,0
1728877560,51306.5,51320.6,51304.7,51304.7,0
1728877565,51308.25,51313.3,51306.2,51313.3,0
1728877570,51313.05,51313.05,51307.9,51311.05,0
1728877575,51311.8,51316.15,51303.6,51312.6,0
1728877580,51308.15,51310.0,51301.75,51310.0,0
1728877585,51310.3,51332.3,51310.3,51331.1,0
1728877590,51329.65,51339.4,51324.1,51333.65,0
1728877595,51334.5,51342.5,51323.5,51328.8,0
1728877600,51335.1,51338.75,51324.8,51338.75,0
1728877605,51337.2,51348.0,51335.2,51346.8,0
1728877610,51345.0,51358.8,51343.15,51357.45,0
1728877615,51353.3,51367.2,51352.65,51355.6,0
1728877620,51364.0,51364.0,51343.6,51352.4,0
1728877625,51342.55,51350.85,51342.2,51342.2,0
1728877630,51346.0,51347.2,51335.85,51335.85,0
1728877635,51340.4,51344.05,51331.7,51335.6,0
1728877640,51335.1,51339.05,51330.8,51334.45,0
1728877645,51339.6,51339.6,51328.95,51333.7,0
1728877650,51329.75,51333.15,51321.6,51333.15,0
1728877655,51332.2,51342.55,51332.2,51336.85,0
1728877660,51330.85,51340.95,51330.85,51339.1,0
1728877665,51339.55,51340.0,51332.1,51333.5,0
1728877670,51335.75,51339.55,51328.5,51333.55,0
1728877675,51332.75,51341.65,51331.15,51331.25,0
1728877680,51329.15,51343.1,51327.55,51343.1,0
1728877685,51342.45,51350.55,51339.6,51350.55,0
1728877690,51351.85,51351.85,51340.7,51341.55,0
1728877695,51348.8,51348.8,51335.1,51336.8,0
1728877700,51336.95,51342.4,51332.05,51336.2,0
1728877705,51341.1,51341.1,51328.3,51332.85,0
1728877710,51331.55,51334.8,51328.45,51328.45,0
1728877715,51328.05,51334.7,51327.6,51332.95,0
1728877720,51333.45,51337.7,51332.6,51334.5,0
1728877725,51332.05,51332.05,51321.95,51324.5,0
1728877730,51328.1,51335.3,51327.35,51335.3,0
1728877735,51335.6,51335.85,51327.2,51327.2,0
1728877740,51332.0,51332.0,51325.35,51331.6,0
1728877745,51331.5,51345.9,51331.5,51345.5,0
1728877750,51346.3,51352.45,51341.55,51341.55,0
1728877755,51343.45,51362.75,51343.45,51362.75,0
1728877760,51365.55,51368.0,51358.0,51362.65,0
1728877765,51356.95,51367.2,51350.3,51350.3,0
1728877770,51355.6,51359.75,51351.85,51356.9,0
1728877775,51357.2,51365.95,51354.4,51361.35,0
1728877780,51357.6,51358.25,51351.7,51357.0,0
1728877785,51353.9,51362.85,51353.85,51354.0,0
1728877790,51352.4,51363.35,51352.4,51358.75,0
1728877795,51356.95,51365.05,51352.95,51358.8,0
1728877800,51357.9,51357.9,51348.6,51349.9,0
1728877805,51345.65,51349.15,51339.85,51342.2,0
1728877810,51346.55,51346.55,51337.65,51340.1,0
1728877815,51337.65,51337.65,51329.8,51331.8,0
1728877820,51334.95,51336.95,51328.9,51331.15,0
1728877825,51331.1,51334.55,51328.5,51334.55,0
1728877830,51330.25,51332.0,51328.0,51330.7,0
1728877835,51328.4,51337.05,51326.75,51337.05,0
1728877840,51331.85,51342.6,51331.85,51339.75,0
1728877845,51341.2,51358.9,51341.2,51357.1,0
1728877850,51355.45,51360.4,51349.55,51349.55,0
1728877855,51348.95,51355.5,51344.65,51351.85,0
1728877860,51355.15,51361.6,51345.9,51345.9,0
1728877865,51349.25,51349.25,51338.0,51345.2,0
1728877870,51344.9,51348.1,51341.45,51346.15,0
1728877875,51348.6,51349.0,51340.95,51348.2,0
1728877880,51347.5,51347.5,51337.55,51337.6,0
1728877885,51338.05,51338.05,51330.55,51330.55,0
1728877890,51327.9,51330.35,51320.7,51320.7,0
1728877895,51323.7,51326.05,51310.4,51313.45,0
1728877900,51310.95,51318.3,51310.25,51310.25,0
1728877905,51314.7,51314.7,51303.3,51305.75,0
1728877910,51309.0,51309.0,51299.5,51300.1,0
1728877915,51303.95,51311.15,51302.25,51311.0,0
1728877920,51311.45,51324.1,51311.45,51324.1,0
1728877925,51323.3,51323.3,51314.25,51314.25,0
1728877930,51317.05,51328.25,51316.35,51326.35,0
1728877935,51330.1,51330.55,51327.5,51328.4,0
1728877940,51333.35,51339.6,51329.4,51336.95,0
1728877945,51332.7,51337.55,51331.45,51333.8,0
1728877950,51335.2,51336.95,51328.0,51333.55,0
1728877955,51331.45,51337.0,51330.3,51337.0,0
1728877960,51337.85,51337.85,51327.75,51327.75,0
1728877965,51327.1,51332.25,51325.3,51326.15,0
1728877970,51329.15,51329.15,51323.95,51328.6,0
1728877975,51330.0,51337.35,51328.65,51337.35,0
1728877980,51338.1,51346.5,51338.1,51345.05,0
1728877985,51345.2,51345.2,51338.4,51341.1,0
1728877990,51340.45,51342.45,51335.3,51338.65,0
1728877995,51337.25,51339.15,51332.85,51338.3,0
1728878000,51338.1,51349.95,51338.1,51349.95,0
1728878005,51351.05,51357.6,51351.05,51355.4,0
1728878010,51353.75,51353.75,51345.55,51348.35,0
1728878015,51348.65,51349.1,51344.45,51348.1,0
1728878020,51349.9,51357.05,51345.85,51353.5,0
1728878025,51351.85,51357.6,51348.7,51357.6,0
1728878030,51350.0,51362.1,51350.0,51356.15,0
1728878035,51360.95,51363.15,51356.75,51359.45,0
1728878040,51363.2,51365.05,51358.7,51365.05,0
1728878045,51362.25,51369.95,51362.25,51368.2,0
1728878050,51371.5,51371.5,51363.5,51367.8,0
1728878055,51368.65,51373.95,51364.35,51367.75,0
1728878060,51370.9,51371.0,51363.65,51364.6,0
1728878065,51364.45,51376.95,51364.45,51372.5,0
1728878070,51375.75,51378.45,51368.65,51378.45,0
1728878075,51373.05,51378.95,51370.85,51373.95,0
1728878080,51370.9,51375.6,51368.05,51375.6,0
