time,open,high,low,close,volume
1728877500,12994.95,13026.2,12986.3,13012.45,0
1728877505,13006.2,13014.0,13006.2,13008.45,0
1728877510,13008.85,13022.35,13008.85,13020.4,0
1728877515,13021.6,13021.6,13018.3,13020.85,0
1728877520,13023.35,13023.35,13017.85,13022.4,0
1728877525,13021.85,13022.2,13018.0,13019.25,0
1728877530,13017.35,13017.35,13013.25,13015.75,0
1728877535,13017.65,13017.65,13014.1,13015.35,0
1728877540,13016.15,13017.45,13013.0,13015.05,0
1728877545,13013.15,13017.6,13013.15,13015.8,0
1728877550,13014.3,13017.75,13014.3,13015.05,0
1728877555,13015.35,13015.95,13013.3,13013.3,0
1728877560,13014.35,13017.7,13014.0,13015.45,0
1728877565,13015.85,13016.15,13014.15,13015.05,0
1728877570,13017.3,13018.0,13013.05,13013.05,0
1728877575,13013.35,13015.35,13013.3,13014.4,0
1728877580,13013.35,13013.35,13011.4,13011.6,0
1728877585,13011.1,13013.6,13008.95,13009.85,0
1728877590,13010.8,13010.85,13009.35,13009.65,0
1728877595,13009.4,13010.55,13008.25,13009.75,0
1728877600,13010.95,13013.3,13010.95,13011.7,0
1728877605,13010.95,13014.8,13010.95,13014.8,0
1728877610,13017.35,13021.1,13017.35,13019.25,0
1728877615,13018.95,13021.85,13018.95,13021.85,0
1728877620,13020.85,13021.65,13019.2,13021.3,0
1728877625,13019.6,13020.4,13018.5,13019.95,0
1728877630,13018.65,13019.1,13016.7,13019.1,0
1728877635,13016.45,13018.1,13015.4,13015.7,0
1728877640,13014.55,13016.0,13012.15,13012.15,0
1728877645,13011.55,13013.05,13009.9,13010.7,0
1728877650,13010.9,13010.9,13007.3,13007.3,0
1728877655,13008.8,13010.85,13008.8,13009.75,0
1728877660,13008.9,13009.35,13007.6,13008.05,0
1728877665,13007.65,13011.35,13007.55,13011.35,0
1728877670,13010.4,13010.4,13008.8,13010.05,0
1728877675,13010.65,13013.35,13009.45,13010.6,0
1728877680,13010.45,13012.05,13009.35,13011.0,0
1728877685,13011.4,13014.4,13011.4,13013.5,0
1728877690,13014.75,13015.4,13014.05,13014.7,0
1728877695,13013.4,13013.8,13013.2,13013.2,0
1728877700,13012.65,13013.45,13011.9,13012.4,0
1728877705,13011.75,13011.75,13009.0,13009.0,0
1728877710,13009.35,13009.55,13004.0,13004.0,0
1728877715,13003.95,13003.95,13000.8,13003.25,0
1728877720,13001.5,13003.25,13001.5,13003.25,0
1728877725,13003.55,13003.65,13001.85,13003.45,0
1728877730,13003.0,13004.9,13003.0,13004.75,0
1728877735,13004.9,13006.2,13004.6,13005.75,0
1728877740,13004.2,13007.3,13004.2,13006.9,0
1728877745,13006.6,13007.05,13005.3,13006.7,0
1728877750,13006.45,13006.45,13003.05,13003.2,0
1728877755,13003.6,13004.3,13001.95,13003.4,0
1728877760,13002.95,13005.2,13002.95,13005.2,0
1728877765,13005.9,13006.05,13002.1,13002.1,0
1728877770,13002.0,13002.95,13001.25,13001.45,0
1728877775,13001.2,13004.05,13001.2,13004.05,0
1728877780,13003.95,13004.35,13002.8,13004.35,0
1728877785,13003.7,13006.55,13003.7,13005.2,0
1728877790,13005.25,13007.5,13005.25,13007.5,0
1728877795,13008.35,13009.6,13007.15,13009.6,0
1728877800,13010.75,13010.75,13007.4,13008.75,0
1728877805,13007.65,13008.65,13006.55,13006.8,0
1728877810,13006.85,13006.85,13002.7,13002.7,0
1728877815,12999.9,12999.9,12988.75,12989.1,0
1728877820,12990.9,12993.55,12990.9,12991.85,0
1728877825,12993.2,12993.2,12991.2,12991.95,0
1728877830,12992.2,12992.7,12991.5,12992.5,0
1728877835,12993.25,12994.75,12993.25,12994.65,0
1728877840,12994.25,12997.8,12994.25,12997.8,0
1728877845,12997.35,12998.9,12996.8,12996.8,0
1728877850,12996.4,12997.95,12994.9,12994.9,0
1728877855,12994.65,12994.65,12989.85,12989.85,0
1728877860,12990.2,12991.15,12989.85,12989.95,0
1728877865,12989.5,12991.9,12989.25,12990.1,0
1728877870,12990.3,12992.6,12990.3,12992.6,0
1728877875,12993.05,12993.15,12991.55,12993.15,0
1728877880,12991.95,12993.05,12991.75,12993.0,0
